

period,author_id,style,influence,death_year,incident_type,anecdote,feud_with,notable_rivalry,intensity,sentiment,stage_mood,location,play_id,creature_id,notes
Elizabethan,ben_jonson,blank_verse,global,1637,legal_scandal,"Arrested a pamphleteer for “libel” and went to jail more than once over criticism.","Pamphleteer","Jonson’s libel cases",notable,frustration,😤,London,none,none,"Jonson’s libel cases"
Elizabethan,ben_jonson,blank_verse,global,1637,literary_rivalry,"Published his own “collected works” to flex on other playwrights.","Other playwrights","Jonson’s literary rivalry",notable,pride,😏,London,none,none,"Jonson’s literary rivalry"
Elizabethan,thomas_kyd,blank_verse,global,1594,espionage,"Was tortured when Marlowe’s dangerous papers turned up at his house.","Authorities, Marlowe","Kyd’s association with Marlowe",notable,outrage,🫢,London,none,none,"Kyd’s association with Marlowe"
Elizabethan,thomas_kyd,blank_verse,global,1594,plagiarism,"Peers snickered that “Hamlet” was just a rip-off of Kyd’s “Spanish Tragedy.”","Shakespeare","Kyd’s plagiarism",notable,jealousy,🤫,Theatre,hamlet,none,"Kyd’s plagiarism"
Elizabethan,thomas_kyd,blank_verse,global,1594,poverty,"Lived out his last days broke, gossiped about as a has-been.","Peers","Kyd’s downfall",minor,regret,😢,London,none,none,"Kyd’s downfall"
Elizabethan,thomas_kyd,blank_verse,global,1594,literary_shade,"Victim of Marlowe’s shade, even posthumously.","Marlowe","Kyd’s legacy",minor,embarrassment,😳,London,none,none,"Kyd’s legacy"
Elizabethan,john_lyly,blank_verse,global,1606,literary_snobbery,"Snobs at court adored his florid prose, but rivals like Dekker mocked it as “old junk.”","Thomas Dekker","Lyly’s literary rivalry",minor,jealousy,😏,Court,none,none,"Lyly’s literary rivalry"
Elizabethan,john_lyly,blank_verse,global,1606,court_intrigue,"Never made it as Master of the Revels, despite years of scheming.","Court officials","Lyly’s court rivalry",minor,frustration,😤,Court,none,none,"Lyly’s court rivalry"
Elizabethan,john_lyly,blank_verse,global,1606,court_intrigue,"Rumored to start cliques at court and pit other playwrights against each other.","Other playwrights","Lyly’s court politics",minor,intrigue,🤔,Court,none,none,"Lyly’s court politics"
Elizabethan,john_lyly,blank_verse,global,1606,personal_gossip,"His romantic comedies inspired whispers about his ambiguous love life.","Courtiers","Lyly’s personal scandal",minor,embarrassment,😳,Court,none,none,"Lyly’s personal scandal" 
Elizabethan,robert_greene,blank_verse,global,1592,scandalous_death,"Died penniless from a “binge of wine and pickled herring.”","None","Greene’s death",minor,regret,😢,London,none,none,"Greene’s death"
Elizabethan,robert_greene,blank_verse,global,1592,literary_feud,"Was notorious for pamphlet wars, dragging Shakespeare (“Shake-scene”) through the mud.","William Shakespeare","Greene’s pamphlet war",notable,jealousy,🤫,London,none,none,"Greene’s pamphlet war"
Elizabethan,robert_greene,blank_verse,global,1592,literary_feud,"Spat venom at nearly every rival: Lyly, Nashe, Peele... no one was safe.","Lyly, Nashe, Peele","Greene’s literary feud",notable,jealousy,🤫,London,none,none,"Greene’s literary feud"
Elizabethan,robert_greene,blank_verse,global,1592,literary_feud,"His final published words warned to beware of “upstart crows.”","William Shakespeare","Greene’s literary feud",notable,jealousy,🤫,London,none,none,"Greene’s literary feud"
Elizabethan,thomas_dekker,blank_verse,global,1632,literary_feud,"Jonson called him a “dresser of plays” and they feuded publicly for years.","Ben Jonson","Dekker-Jonson feud",notable,jealousy,😡,London,none,none,"Dekker-Jonson feud"
Elizabethan,thomas_dekker,blank_verse,global,1632,financial_scandal,"Was perpetually in and out of debtors’ prison, mocked for being “poor and prolific.”","Rivals","Dekker’s poverty",minor,regret,😢,London,none,none,"Dekker’s poverty"
Elizabethan,thomas_dekker,blank_verse,global,1632,satire,"Used his plays to lampoon Jonson, suggesting he was a “giant baby” on stage.","Ben Jonson","Dekker-Jonson feud",notable,mockery,🤡,Theatre,none,none,"Dekker-Jonson feud"
Elizabethan,thomas_dekker,blank_verse,global,1632,plagiarism,"Claimed others stole his ideas, but he borrowed plot twists left and right.","Other playwrights","Dekker’s literary feud",notable,jealousy,🤫,London,none,none,"Dekker’s literary feud"
Elizabethan,thomas_nashe,blank_verse,global,1601,literary_feud,"Famous for pamphlet wars, his “battles” with Gabriel Harvey were the X (Twitter) wars of their day.","Gabriel Harvey","Nashe-Harvey feud",notable,jealousy,🤫,London,none,none,"Nashe-Harvey feud"
Elizabethan,thomas_nashe,blank_verse,global,1601,legal_scandal,"Fled London when authorities threatened him over a satirical play (co-written with Marlowe).","Authorities","Nashe’s legal trouble",notable,fear,😱,London,none,none,"Nashe’s legal trouble"
Elizabethan,thomas_nashe,blank_verse,global,1601,literary_feud,"Called Harvey “more annoying than lice” in print.","Gabriel Harvey","Nashe-Harvey feud",notable,jealousy,🤫,London,none,none,"Nashe-Harvey feud"
Elizabethan,thomas_nashe,blank_verse,global,1601,gossip,"Rumored to spread damaging gossip about rivals just for sport.","Rivals","Nashe’s literary feud",minor,mischief,😈,London,none,none,"Nashe’s literary feud"
Elizabethan,george_peele,blank_verse,global,1596,personal_scandal,"Accused of bedding a patron’s wife for a place to stay during hard times.","Patron","Peele’s personal scandal",notable,embarrassment,😳,London,none,none,"Peele’s personal scandal"
Elizabethan,george_peele,blank_verse,global,1596,plagiarism,"Known for plagiarizing plot concepts, then trash-talking the originals.","Other playwrights","Peele’s literary feud",notable,jealousy,🤫,London,none,none,"Peele’s literary feud"
Elizabethan,george_peele,blank_verse,global,1596,literary_feud,"Lifelong drinker, not above a sly jab at Greene or Lyly in public.","Greene, Lyly","Peele’s literary feud",minor,mischief,😈,London,none,none,"Peele’s literary feud"
Elizabethan,george_peele,blank_verse,global,1596,scandalous_death,"Said to have died broke, scorned and possibly drunk under a bridge.","None","Peele’s death",minor,regret,😢,London,none,none,"Peele’s death"
Jacobean,john_fletcher,blank_verse,global,1625,plagiarism,"Allegedly “borrowed” unfinished plays from deceased friends to polish for himself.","Deceased friends","Fletcher’s literary feud",notable,jealousy,🤫,London,none,none,"Fletcher’s literary feud"
Jacobean,john_fletcher,blank_verse,global,1625,literary_feud,"Was mocked for “flamboyant” style and sometimes childish humor.","Other playwrights","Fletcher’s literary feud",minor,mockery,🤡,Theatre,none,none,"Fletcher’s literary feud"
Jacobean,john_fletcher,blank_verse,global,1625,collaboration_scandal,"Rumored to party harder than he wrote, making deadlines by leaning heavily on collaborators.","Collaborators","Fletcher’s literary feud",notable,frustration,😤,London,none,none,"Fletcher’s literary feud"
Jacobean,john_fletcher,blank_verse,global,1625,satire,"Liked to air old-guard playwrights’ dirty laundry in witty asides.","Old-guard playwrights","Fletcher’s literary feud",notable,mischief,😈,Theatre,none,none,"Fletcher’s literary feud" 
Jacobean,francis_beaumont,blank_verse,global,1616,creative_jealousy,"His fallout with Fletcher was legendary, whispers of creative and romantic jealousy abound.","John Fletcher","Beaumont-Fletcher feud",notable,jealousy,😡,London,none,none,"Beaumont-Fletcher feud"
Jacobean,francis_beaumont,blank_verse,global,1616,literary_feud,"Was said to have mocked stuffy Ben Jonson behind his back for “writing for applause, not art.”","Ben Jonson","Beaumont-Jonson feud",notable,jealousy,🤫,London,none,none,"Beaumont-Jonson feud"
Jacobean,francis_beaumont,blank_verse,global,1616,personal_scandal,"Fashionista: rumor had it he spent more on ruffs than on quills.","None","Beaumont’s personal scandal",minor,embarrassment,😳,Court,none,none,"Beaumont’s personal scandal"
Jacobean,francis_beaumont,blank_verse,global,1616,personal_scandal,"Flirted outrageously with wealthy patrons… male and female.","Patrons","Beaumont’s personal scandal",minor,romantic_intrigue,🥰,Court,none,none,"Beaumont’s personal scandal"
Jacobean,john_ford,blank_verse,global,1639,literary_scandal,"His lurid tragedies earned him nicknames like “Godfather of Incest.”","Rivals","Ford’s literary scandal",notable,shock,😱,Theatre,none,none,"Ford’s literary scandal"
Jacobean,john_ford,blank_verse,global,1639,literary_scandal,"Rivals accused him of being morbidly obsessed with taboo, just for shock value.","Rivals","Ford’s literary scandal",notable,shock,😱,Theatre,none,none,"Ford’s literary scandal"
Jacobean,john_ford,blank_verse,global,1639,literary_feud,"Some believed he wrote anonymous hate mail to undermine rivals’ reputations.","Rivals","Ford’s literary feud",notable,jealousy,🤫,London,none,none,"Ford’s literary feud"
Jacobean,john_ford,blank_verse,global,1639,gossip,"Supposedly trolled other writers by planting gossip about their sex lives.","Rivals","Ford’s literary feud",minor,mischief,😈,London,none,none,"Ford’s literary feud"
Jacobean,john_marston,blank_verse,global,1634,literary_feud,"Led a poet-war with Dekker and Jonson, swapping insults and even blocking each other’s plays.","Thomas Dekker, Ben Jonson","Marston’s literary feud",notable,jealousy,😡,Theatre,none,none,"Marston’s literary feud"
Jacobean,john_marston,blank_verse,global,1634,legal_scandal,"Was banned from theatre at least once for biting jousts at powerful enemies.","Authorities","Marston’s legal trouble",notable,anger,😡,Theatre,none,none,"Marston’s legal trouble"
Jacobean,john_marston,blank_verse,global,1634,literary_feud,"People said he faked his “retirement to the clergy” just to avoid duels.","Rivals","Marston’s literary feud",minor,mischief,😈,London,none,none,"Marston’s literary feud"
Jacobean,john_marston,blank_verse,global,1634,literary_feud,"Left a prank “treasure map” in his will to annoy surviving foes.","Surviving foes","Marston’s literary feud",minor,mischief,😈,London,none,none,"Marston’s literary feud"
Jacobean,john_webster,blank_verse,global,1634,literary_scandal,"Called “Webster the Viper” for the venom of his heroines.","Rivals","Webster’s literary scandal",notable,shock,😱,Theatre,none,none,"Webster’s literary scandal"
Jacobean,john_webster,blank_verse,global,1634,plagiarism,"Accused of raiding Middleton’s and Beaumont’s plot bins for his own works.","Middleton, Beaumont","Webster’s literary feud",notable,jealousy,🤫,Theatre,none,none,"Webster’s literary feud"
Jacobean,john_webster,blank_verse,global,1634,literary_scandal,"Critics said his tragic femmes were inspired by “real” jealous mistresses.","Critics","Webster’s literary scandal",notable,jealousy,😡,Theatre,none,none,"Webster’s literary scandal"
Jacobean,john_webster,blank_verse,global,1634,literary_scandal,"Stage hands joked about him “poisoning” more characters than anyone else.","Stage hands","Webster’s literary scandal",notable,shock,😱,Theatre,none,none,"Webster’s literary scandal"
Jacobean,james_shirley,blank_verse,global,1666,literary_feud,"Quiet, but wildly jealous. He called Massinger a “hack” behind closed doors.","Philip Massinger","Shirley-Massinger feud",notable,jealousy,🤫,London,none,none,"Shirley-Massinger feud"
Jacobean,james_shirley,blank_verse,global,1666,gossip,"Had a secret circle of “favorites” and was known for petty backstage gossip.","Other playwrights","Shirley’s literary feud",minor,mischief,😈,London,none,none,"Shirley’s literary feud"
Jacobean,james_shirley,blank_verse,global,1666,satire,"Parodied rivals’ hairlines in his plays; literal shade.","Other playwrights","Shirley’s literary feud",notable,mockery,🤡,Theatre,none,none,"Shirley’s literary feud"
Jacobean,james_shirley,blank_verse,global,1666,gossip,"Gossiped about as “two-faced” by former co-authors.","Former co-authors","Shirley’s literary feud",minor,mischief,😈,London,none,none,"Shirley’s literary feud"
Jacobean,philip_massinger,blank_verse,global,1640,literary_feud,"Claimed plagiarism when his own work was censored; not above slandering rivals in paratexts.","Rivals","Massinger’s literary feud",notable,jealousy,🤫,London,none,none,"Massinger’s literary feud"
Jacobean,philip_massinger,blank_verse,global,1640,literary_feud,"Called Shirley’s work “derivative” to surviving collaborators.","James Shirley","Massinger-Shirley feud",notable,jealousy,🤫,London,none,none,"Massinger-Shirley feud"
Jacobean,philip_massinger,blank_verse,global,1640,satire,"Loved slipping sly jabs at fellow dramatists’ stage tics into his scripts.","Other playwrights","Massinger’s literary feud",notable,mockery,🤡,Theatre,none,none,"Massinger’s literary feud"
Jacobean,philip_massinger,blank_verse,global,1640,literary_feud,"Was infamous for holding grudges over supposed literary thefts.","Other playwrights","Massinger’s literary feud",notable,jealousy,🤫,London,none,none,"Massinger’s literary feud"
Jacobean,thomas_middleton,blank_verse,global,1627,satire,"Self-proclaimed satirist, he teased Jonson’s “bearish” manners in print.","Ben Jonson","Middleton-Jonson feud",notable,mockery,🤡,London,none,none,"Middleton-Jonson feud"
Jacobean,thomas_middleton,blank_verse,global,1627,gossip,"Spread rumors about Rowley’s supposed laziness and “country tastes.”","William Rowley","Middleton-Rowley feud",notable,jealousy,🤫,London,none,none,"Middleton-Rowley feud"
Jacobean,thomas_middleton,blank_verse,global,1627,literary_feud,"Collaborated widely, but mocked the “idlers” he co-wrote with.","Collaborators","Middleton’s literary feud",notable,jealousy,🤫,London,none,none,"Middleton’s literary feud"
Jacobean,thomas_middleton,blank_verse,global,1627,literary_feud,"Was fond of trash-talking his competitors at London taverns.","Competitors","Middleton’s literary feud",notable,jealousy,🤫,London,none,none,"Middleton’s literary feud"
Jacobean,thomas_heywood,blank_verse,global,1641,gossip,"Nicknamed “the Magpie” for repeating any secret he overheard.","Other playwrights","Heywood’s literary feud",minor,mischief,😈,London,none,none,"Heywood’s literary feud"
Jacobean,thomas_heywood,blank_verse,global,1641,literary_feud,"At various points claimed to be an agent for the king, rivals rolled their eyes.","Rivals","Heywood’s literary feud",minor,jealousy,😏,London,none,none,"Heywood’s literary feud"
Jacobean,thomas_heywood,blank_verse,global,1641,satire,"Accused Dekker of “questionable manhood” in plays; awkward rehearsals followed.","Thomas Dekker","Heywood-Dekker feud",notable,mockery,🤡,Theatre,none,none,"Heywood-Dekker feud"
Jacobean,thomas_heywood,blank_verse,global,1641,literary_feud,"Said his workroom was robbed by rivals seeking plot spoilers.","Rivals","Heywood’s literary feud",notable,jealousy,🤫,London,none,none,"Heywood’s literary feud"
Jacobean,william_rowley,blank_verse,global,1626,literary_feud,"Called “Rowley the Tater” for his appetite and roles as bumbling servants.","Other playwrights","Rowley’s literary feud",minor,jealousy,😏,London,none,none,"Rowley’s literary feud"
Jacobean,william_rowley,blank_verse,global,1626,satire,"Anonymous lampoons about Webster’s “depressing” scripts were likely his.","John Webster","Rowley-Webster feud",notable,mockery,🤡,Theatre,none,none,"Rowley-Webster feud"
Jacobean,william_rowley,blank_verse,global,1626,sabotage,"Blamed for sabotaging props backstage to make rivals look foolish.","Rivals","Rowley’s literary feud",notable,jealousy,🤫,London,none,none,"Rowley’s literary feud"
Jacobean,william_rowley,blank_verse,global,1626,personal_scandal,"Caroused so hard he was rumored to “bed both the muse and the stage crew.”","Stage crew","Rowley’s personal scandal",minor,embarrassment,😳,London,none,none,"Rowley’s personal scandal"
Jacobean,george_chapman,blank_verse,global,1634,violent_feud,"Once, in a jealousy-fueled fit, reportedly threw ink at Jonson’s head mid-argument.","Ben Jonson","Chapman-Jonson feud",epic,anger,😡,London,none,none,"Chapman-Jonson feud"
Jacobean,george_chapman,blank_verse,global,1634,literary_feud,"Nicknamed “the Roman,” he was mocked for never shutting up about Homer's epics.","Other playwrights","Chapman’s literary feud",minor,jealousy,😏,London,none,none,"Chapman’s literary feud"
Jacobean,george_chapman,blank_verse,global,1634,financial_scandal,"Deep in debt, rumored to gamble away collaborators’ fees.","Collaborators","Chapman’s financial scandal",notable,frustration,😤,London,none,none,"Chapman’s financial scandal"
Jacobean,george_chapman,blank_verse,global,1634,literary_feud,"Called Webster “a dealer in gore with a love for filth.”","John Webster","Chapman-Webster feud",notable,jealousy,🤫,London,none,none,"Chapman-Webster feud"

